response_id,ease_of_organisation_reason
GEN24_1055829,Coordinating flights accomodations and activities for a month was exhausting
GEN24_1056624,Finding walks information
GEN24_1056822,Finding campsites with showers
GEN24_1058362,"Age limit on car rentals for people over 70, as an active caravaner in my country the cap on age is very restricted for a active person!!"
GEN24_1059423,Money
GEN24_1059879,"Road connections, distances driving back and forth due to the lack of connecting roads."
GEN24_1060915,I only had a phone to complete all my bookings.
GEN24_1061001,Dog importation
GEN24_1061972,Financial means
GEN24_1063031,Packing and airport security
GEN24_1063117,????
GEN24_1065083,看别人总是在出发前被取消签证，所以我都不敢提前预定所有的酒店和车辆，怕临时取消签证会造成巨额损失
GEN24_1065331,To plan my driving route
GEN24_1065610,Traveling Organization
GEN24_1067495,It was difficult to plan the trip because everything is quite spread out - there's so much to see but not enough time to see it all.
GEN24_1068663,Coordinating all of the above on behalf of several family members.
GEN24_1068989,weather
GEN24_1069207,英语不好，在刚开始购物和交流方面有恐惧感，对当地的不熟悉，旅游规划时和到达当地后有差距，比如回想一些城市可以多停留，一些地方可以少停留。
GEN24_1069820,高速道路料金の払い方
GEN24_1073906,"No single element was difficult and all was manageable/understandable, it was simply a lot of moving pieces to coordinate as a result of the way we chose to do things"
GEN24_1075135,"Not difficult per se, it just involved a lot of planning"
GEN24_1075891,"Making driving route plan is difficult. Spots are near on the map, but most of them are not connected, have to return the same way you came."
GEN24_1076229,Getting prices for materials I need to order prior to Ariving.
GEN24_1077560,Money for trip
GEN24_1077805,The agency (Pacific Destinations) we used did not really plan the days in an efficient way. I have the feeling we could have seen more!
GEN24_1078267,Currency and Holiday timing due to work
GEN24_1078448,Importing our ship's cat
GEN24_1078822,Wanting to see as much as possible at a reasonable cost. Making the most cost efficient choices to maximize what we were visiting.
GEN24_1079219,電車がない
GEN24_1082265,음식물 신고 준비
GEN24_1083139,Trying to decide the places we really wanted to visit during our time in NZ.
GEN24_26145,Had to book travel through my work travel portal.
GEN24_28128,"Uncertainties about the weather, information not being timely enough"
GEN24_28736,The time taken to travel between locations and petrol cost management
